run_position,level,snr_db,clip,reference,hypothesis,wer,confidence,audio_ms,server_ms,rtf,error
1,quiet,20.0,cmd_door_lock,khóa cửa lại,đám đám đám đám sạt đám bán.,2.3333,0.2723,2860.0,4214,1.4734,
2,clean,,cmd_out_of_scope,đặt bàn ăn tối lúc bảy giờ,đám đối với âm môn.,1.0,0.1313,4134.0,3394,0.821,
3,quiet,20.0,cmd_door_unlock,mở khóa cửa,rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh r,25.0,0.9565,3250.0,4259,1.3105,
4,quiet,20.0,cmd_temp_26,tăng nhiệt độ lên 26 độ,đối với bảo t được tất cảnh tự nhiên và đang dài hỗn hạn đối l men trao đổi từ các vốn tổng từ sin và tỏ vốn một tế từ đầu từ xa ô dài quan tạo t ra khám đồng đội phố học tại khắp phút nghệ ào đôi bàn inh lớp từ đầu bàn hạn đạt đỏ bình này.,10.3333,0.1314,4706.0,2496,0.5304,
5,highway,5.0,cmd_delivery_status,đơn a123 thế nào,kho sin sẽ dựa diệu dưỡ viêm não dưỡng  Wayne rửa bên rô đột để dốt giấy dựa diện viện diện dưỡng diện viện diện viện diện diện tục dựda ô đi tự việc deo dựa linh để dựa diện dựa diện viện diện mục dựa dự.,11.75,0.1324,4238.0,3512,0.8287,
6,quiet,20.0,cmd_removed,bật điều hòa,đăng hộp di ràn rồi sơ sơ sạt rịp ăn ảnh lạt phổi tự hành tế hỗng theo khoảng cách gửi học dựa làm dằm lười cách lấy rượt đón âm tế tế bàn dày rịp da ô dài và thông tắt đất rịp rịp.,15.0,0.1404,2184.0,3704,1.696,
7,cabin,10.0,cmd_temp_26,tăng nhiệt độ lên 26 độ,đám đồng độc da t kho dỗ tồi dụi làm tay t tự nhiên t kho dẹp da t để tự nhiên tự nhiên tự nhiên tự nhiên tự nhiên.,5.0,0.4481,4706.0,245,0.0521,
8,cabin,10.0,cmd_cold,lạnh quá,rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh r,37.5,0.9545,2288.0,3925,1.7155,
9,clean,,cmd_removed,bật điều hòa,đám đám đám đám đám đám ren t chuyne xây mới tự tự nhiên đất để in đông qua bột rỉ vào da đông để dũ để dẫn để ngắm đám đám đám đám đám đông vi chi tiêu gia đông đang đi đám đám đám đông dầu để ăn rỉ.,17.0,0.1246,2184.0,3763,1.723,
10,highway,5.0,cmd_door_unlock,mở khóa cửa,rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh rỉnh r,25.0,0.9528,3250.0,4331,1.3326,
