run_position,level,snr_db,clip,reference,hypothesis,wer,confidence,audio_ms,server_ms,rtf,error
1,quiet,20.0,cmd_door_lock,khóa cửa lại,kể lại.,0.6667,0.382,2860.0,403,0.1409,
2,clean,,cmd_out_of_scope,đặt bàn ăn tối lúc bảy giờ,bàn ăn tối lúc bảy giờ.,0.1429,0.7893,4134.0,356,0.0861,
3,quiet,20.0,cmd_door_unlock,mở khóa cửa,sinh sống trên sân khấu trên sân khấu.,2.6667,0.412,3250.0,464,0.1428,
4,quiet,20.0,cmd_temp_26,tăng nhiệt độ lên 26 độ,nhiệt độ lên hai sáu độ.,0.5,0.7907,4706.0,346,0.0735,
5,highway,5.0,cmd_delivery_status,đơn a123 thế nào,một hai ba thế nào.,0.75,0.5914,4238.0,337,0.0795,
6,quiet,20.0,cmd_removed,bật điều hòa,tấn điều hòa.,0.3333,0.4577,2184.0,302,0.1383,
7,cabin,10.0,cmd_temp_26,tăng nhiệt độ lên 26 độ,nhiệt độ lên hai sáu độ.,0.5,0.7882,4706.0,351,0.0746,
8,cabin,10.0,cmd_cold,lạnh quá,lạnh quá.,0.0,0.4811,2288.0,392,0.1713,
9,clean,,cmd_removed,bật điều hòa,tập điều hoà.,0.6667,0.4482,2184.0,456,0.2088,
10,highway,5.0,cmd_door_unlock,mở khóa cửa,mở phá cửa.,0.3333,0.6082,3250.0,329,0.1012,
11,highway,5.0,cmd_vol_down,giảm âm lượng,âm lượng.,0.3333,0.6251,2938.0,462,0.1572,
12,highway,5.0,cmd_cold,lạnh quá,quá.,0.5,0.4469,2288.0,1013,0.4427,
13,clean,,cmd_cold,lạnh quá,nặng quá.,0.5,0.409,2288.0,920,0.4021,
14,quiet,20.0,cmd_fan_3,đặt quạt mức 3,quạt mức ba.,0.5,0.5362,2990.0,514,0.1719,
15,quiet,20.0,cmd_fan_5,quạt gió mức 5,quạt gió mức năm.,0.25,0.6482,3120.0,323,0.1035,
16,clean,,cmd_delivery_next,chặng tiếp theo,tiếp theo.,0.3333,0.595,2496.0,338,0.1354,
17,clean,,cmd_media_next,chuyển bài,kính từ hai mươi tám năm.,3.0,0.3783,2314.0,318,0.1374,
18,cabin,10.0,cmd_temp_wake,viva ơi đặt nhiệt độ 25 độ,và ơi đặt nhiệt độ hai lăm độ.,0.4286,0.7353,6136.0,354,0.0577,
19,highway,5.0,cmd_delivery_next,chặng tiếp theo,tiếp theo.,0.3333,0.7144,2496.0,314,0.1258,
20,clean,,cmd_temp_noslot,giảm nhiệt độ,giá trị giá trị giảm nhiệt độ.,1.3333,0.6224,2704.0,327,0.1209,
21,highway,5.0,cmd_door_lock,khóa cửa lại,hóa cửa lại.,0.3333,0.5461,2860.0,511,0.1787,
22,quiet,20.0,cmd_fan_0,tắt quạt gió về mức 0,gió về mức không.,0.5,0.5916,3484.0,330,0.0947,
23,clean,,cmd_door_unlock,mở khóa cửa,mở khoá cửa.,0.3333,0.6697,3250.0,316,0.0972,
24,highway,5.0,cmd_temp_wake,viva ơi đặt nhiệt độ 25 độ,và ơi đặt nhiệt độ hai lăm độ.,0.4286,0.7426,6136.0,351,0.0572,
25,quiet,20.0,cmd_out_of_scope,đặt bàn ăn tối lúc bảy giờ,banh ăn tối lúc bảy giờ.,0.2857,0.7221,4134.0,352,0.0851,
26,quiet,20.0,cmd_media_next,chuyển bài,triệu phong trào công nhân.,2.5,0.4124,2314.0,306,0.1322,
27,cabin,10.0,cmd_fan_3,đặt quạt mức 3,mức ba.,0.75,0.4914,2990.0,300,0.1003,
28,quiet,20.0,cmd_vol_down,giảm âm lượng,âm lượng.,0.3333,0.585,2938.0,519,0.1767,
29,cabin,10.0,cmd_vol_down,giảm âm lượng,âm lượng.,0.3333,0.5669,2938.0,473,0.161,
30,quiet,20.0,cmd_delivery_next,chặng tiếp theo,tiếp theo.,0.3333,0.6926,2496.0,317,0.127,
31,clean,,cmd_media_play,phát nhạc,phát nhạc.,0.0,0.6482,2314.0,311,0.1344,
32,quiet,20.0,cmd_media_play,phát nhạc,phát nhạc.,0.0,0.5946,2314.0,384,0.1659,
33,quiet,20.0,cmd_temp_wake,viva ơi đặt nhiệt độ 25 độ,đặc nhiệt độ hai lăm độ.,0.7143,0.6197,6136.0,394,0.0642,
34,cabin,10.0,cmd_delivery_next,chặng tiếp theo,tiếp theo.,0.3333,0.7224,2496.0,315,0.1262,
35,cabin,10.0,cmd_delivery_status,đơn a123 thế nào,ba thế nào.,0.5,0.4296,4238.0,346,0.0816,
36,highway,5.0,cmd_fan_0,tắt quạt gió về mức 0,cao năm một nghìn chín trăm hai mươi mốt.,1.5,0.5368,3484.0,525,0.1507,
37,highway,5.0,cmd_temp_26,tăng nhiệt độ lên 26 độ,nhiệt độ lên hai sáu độ.,0.5,0.786,4706.0,340,0.0722,
38,quiet,20.0,cmd_media_pause,dừng nhạc,nhạc.,0.5,0.4795,2210.0,300,0.1357,
39,clean,,cmd_temp_24,đặt nhiệt độ 24 độ,giáo dục tăng trưởng tham gia trí thứ hai mươi tư độ.,2.2,0.4901,6448.0,393,0.0609,
40,quiet,20.0,cmd_temp_22,hạ điều hòa xuống 22 độ,hạ điều hòa xuống hai hai đội.,0.5,0.6286,4420.0,348,0.0787,
41,highway,5.0,cmd_removed,bật điều hòa,văn nghị luận về tâm hồn.,2.0,0.3924,2184.0,317,0.1451,
42,cabin,10.0,cmd_removed,bật điều hòa,kỳ ưu hòa.,0.6667,0.5345,2184.0,413,0.1891,
43,quiet,20.0,cmd_cold,lạnh quá,quá.,0.5,0.475,2288.0,411,0.1796,
44,cabin,10.0,cmd_door_unlock,mở khóa cửa,mỏ khoá cửa.,0.6667,0.611,3250.0,322,0.0991,
45,highway,5.0,cmd_temp_22,hạ điều hòa xuống 22 độ,liều hoa xuống hai hai đội.,1.0,0.6482,4420.0,364,0.0824,
46,highway,5.0,cmd_media_pause,dừng nhạc,nhạc.,0.5,0.5676,2210.0,300,0.1357,
47,cabin,10.0,cmd_temp_22,hạ điều hòa xuống 22 độ,thả điều hoà xuống hai hai độ.,0.6667,0.605,4420.0,347,0.0785,
48,highway,5.0,cmd_vol_up,tăng âm lượng,lượng.,0.6667,0.4738,2548.0,310,0.1217,
49,cabin,10.0,cmd_fan_5,quạt gió mức 5,quạt gió mức năm.,0.25,0.6101,3120.0,327,0.1048,
50,quiet,20.0,cmd_delivery_status,đơn a123 thế nào,một hai ba thế nào.,0.75,0.69,4238.0,349,0.0824,
51,highway,5.0,cmd_media_next,chuyển bài,triệu tập trung.,1.5,0.382,2314.0,310,0.134,
52,cabin,10.0,cmd_vol_up,tăng âm lượng,lượng.,0.6667,0.4884,2548.0,308,0.1209,
53,highway,5.0,cmd_out_of_scope,đặt bàn ăn tối lúc bảy giờ,bàn ăn tối lúc bảy giờ.,0.1429,0.7811,4134.0,355,0.0859,
54,highway,5.0,cmd_fan_5,quạt gió mức 5,quạt gió mức năm.,0.25,0.6872,3120.0,324,0.1038,
55,cabin,10.0,cmd_temp_24,đặt nhiệt độ 24 độ,giáo dục trong khoản thuộc công tác tham gia phát hiện nội dung trong khoản thuộc công tác.,3.6,0.417,6448.0,417,0.0647,
56,clean,,cmd_delivery_status,đơn a123 thế nào,a một hai ba thế nào.,1.0,0.6706,4238.0,981,0.2315,
57,clean,,cmd_media_pause,dừng nhạc,nhạc.,0.5,0.4428,2210.0,301,0.1362,
58,quiet,20.0,cmd_temp_24,đặt nhiệt độ 24 độ,nhập nhiệt độ hai mươi tư độ.,0.8,0.6953,6448.0,1082,0.1678,
59,clean,,cmd_vol_up,tăng âm lượng,lượng.,0.6667,0.4623,2548.0,299,0.1173,
60,highway,5.0,cmd_fan_3,đặt quạt mức 3,mức ba.,0.75,0.5264,2990.0,310,0.1037,
61,clean,,cmd_fan_5,quạt gió mức 5,đó mức năm.,0.75,0.5132,3120.0,409,0.1311,
62,clean,,cmd_fan_3,đặt quạt mức 3,mực ba.,1.0,0.3945,2990.0,305,0.102,
63,quiet,20.0,cmd_vol_up,tăng âm lượng,lượng.,0.6667,0.5203,2548.0,297,0.1166,
64,cabin,10.0,cmd_door_lock,khóa cửa lại,kỷ sinh viên năm một nghìn chín trăm hai mươi hai mươi hai mươi tháng ba.,5.3333,0.4048,2860.0,1137,0.3976,
65,clean,,cmd_temp_22,hạ điều hòa xuống 22 độ,hạ điều hoà xuống hai hai độ.,0.5,0.6211,4420.0,354,0.0801,
66,cabin,10.0,cmd_media_next,chuyển bài,triển bài.,0.5,0.5392,2314.0,307,0.1327,
67,cabin,10.0,cmd_out_of_scope,đặt bàn ăn tối lúc bảy giờ,bản ăn tối lúc bảy giờ.,0.2857,0.7821,4134.0,363,0.0878,
68,clean,,cmd_door_lock,khóa cửa lại,gửi lời cho tôi một chiếc thuyền chất thực hiện.,3.3333,0.411,2860.0,355,0.1241,
69,quiet,20.0,cmd_temp_noslot,giảm nhiệt độ,du học sinh trong năm một nghìn chín trăm hai mươi nhăm.,4.0,0.5733,2704.0,1087,0.402,
70,clean,,cmd_temp_26,tăng nhiệt độ lên 26 độ,nhiệt độ lên hai sáu độ.,0.5,0.7779,4706.0,355,0.0754,
71,cabin,10.0,cmd_media_play,phát nhạc,nhạt.,1.0,0.446,2314.0,300,0.1296,
72,clean,,cmd_vol_down,giảm âm lượng,năng thực hiện tăng thêm sức sống và tăng thêm sức sống.,4.0,0.4619,2938.0,540,0.1838,
73,clean,,cmd_fan_0,tắt quạt gió về mức 0,gió về mức không.,0.5,0.6424,3484.0,330,0.0947,
74,cabin,10.0,cmd_temp_noslot,giảm nhiệt độ,nội dung.,1.0,0.4007,2704.0,308,0.1139,
75,highway,5.0,cmd_temp_24,đặt nhiệt độ 24 độ,nhập nhiệt độ hai mươi tư độ.,0.8,0.6757,6448.0,354,0.0549,
76,highway,5.0,cmd_media_play,phát nhạc,phát nhạc.,0.0,0.6417,2314.0,311,0.1344,
77,clean,,cmd_temp_wake,viva ơi đặt nhiệt độ 25 độ,đặc nhiệt độ hai lăm độ.,0.7143,0.6179,6136.0,385,0.0627,
78,cabin,10.0,cmd_fan_0,tắt quạt gió về mức 0,gió về mức không.,0.5,0.5892,3484.0,336,0.0964,
79,cabin,10.0,cmd_media_pause,dừng nhạc,nhạc.,0.5,0.5889,2210.0,303,0.1371,
80,highway,5.0,cmd_temp_noslot,giảm nhiệt độ,nội dung.,1.0,0.3874,2704.0,371,0.1372,
